Family,Species (Latin Name),Inuvialuktun Name(s),English Name,French Name
Poaceae,Deschampsia brevifolia R. Br.,,short-leaved hairgrass,deschampsie á feuilles courtes
Poaceae,Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa,"ivik (I, S, U)",deschampsie cespiteuse,tufted hairgrass
Poaceae,Dupontia fisheri R. Br.,,Fisher's tundra grass,dupontie de Fisher
Poaceae,Elymus alaskanus (Scribn. & Merr.) Á.Löve subsp. alaskanus,,Alaska wildrye,élyme d'Alaska
Poaceae,Elymus alaskanus subsp. hyperarcticus (Polunin) Á. Löve & D. Löve,,tundra wildrye,élyme arctique
Poaceae,Elymus violaceus (Hornem.) Feilberg,,high wildrye,élyme à glumes larges
Poaceae,Festuca baffinensis Polunin,,Baffin Island fescue,fétuque de Baffin
Poaceae,Festuca brachyphylla Schult. & Schult. f. subsp. brachyphylla,,short-leaved fescue,fétuque à feuilles courtes
Poaceae,Festuca rubra subsp. arctica (Hack.) Govor.,,Richardson's fescue,fétuque de Richardson
Poaceae,"Koeleria spicata (L.) Barberá, Quintanar, Soreng & P.M. Peterson",,spike trisetum,trisète à épi
Poaceae,Leymus innovatus (Beal) Pilg.,,downy lymegrass,élyme innovant
Poaceae,Leymus mollis subsp. villosissimus (Scribn.) Á. Löve & D. Löve,,arctic dunegrass,élyme des sables velu
Poaceae,Phippsia algida Sol.,,icegrass,phippsie arctique
Poaceae,Poa ammophila A.E. Porsild,,sand bluegrass,pâturin des sables
Poaceae,Poa arctica R.Br. subsp. arctica,,arctic bluegrass,pâturin arctique
Poaceae,Poa arctica subsp. caespitans Nannf.,,high arctic bluegrass,pâturin cespiteux
Poaceae,Poa glauca Vahl. subsp. glauca,,glaucous bluegrass,pâturin glauque
Poaceae,Poa hartzii Gand. subsp. hartzii,,Hartz's bluegrass,pâturin de Hartz
Poaceae,Poa pratensis subsp. alpigena (Lindm.) Hiitonen,,alpigene bluegrass,pâturin alpigène
Poaceae,Puccinellia andersonii Swallen,,Anderson's alkaligrass,puccinellie d'Anderson
Poaceae,Puccinellia angustata (R. Br.) Rand & Redf.,,narrow alkaligrass,puccinellie étroite
Poaceae,Puccinellia arctica (Hook.) Fernald & Weath.,,arctic alkaligrass,puccinellie arctique
Poaceae,Puccinellia nuttalliana (J.A. Schultes) A.S. Hitch.,,Nuttall's alkaligrass,puccinellie de Nuttall
Poaceae,Puccinellia phryganodes subsp. neoarctica (Á. Löve & D. Löve) Elven,,nearctic alkaligrass,puccinellie néarctique
Poaceae,Puccinellia vaginata (Lange) Fernald and Weath.,,tussock alkaligrass,puccinellie engainée
Poaceae,Puccinellia vahliana (Liebm.) Scribn. & Merr.,,Vahl's alkaligrass,puccinellie de Vahl
Poaceae,Pulsatilla nuttalliana (DC.) Spreng.,,prairie pasqueflower,pulsatille multifide
Polemoniaceae,Phlox richardsonii Hooker,,Richardson's phlox,phlox de Richardson
Polemoniaceae,Polemonium acutiflorum Willd.,,tall Jacob's-ladder,polémoine à pétales aigus
Polemoniaceae,Polemonium boreale Adams,,northern Jacob's-ladder,polémoine boréale
Polygonaceae,Bistorta vivipara (L.) Delarbre,"ipiq (pl. ippit; ipit; ipiit) (I, S); nakaq (S); quaqqat (S); quaraq (S)",alpine bistort,renouée vivipare
Polygonaceae,Oxyria digyna (L.) Hill,"qumaliq; qunguliq (pl. qungullit) (I, S, U); qunulliq (U); qungifiq (S)",mountain sorrel,oxyrie de montagne
Polygonaceae,Rumex arcticus Trautv.,ipiuyat (S); quaguq (U); quaraq (pl. quaqqat) (S),arctic dock,patience arctique
Polygonaceae,Rumex lapponicus (Hiitonen) Czernov,,Lapland sorrel,oseille de Laponie
Primulaceae,Androsace chamaejasme subsp. andersonii (Hultén) Hultén,,sweet-flowered rock jasmine,androsace des rochers
Primulaceae,Primula borealis Duby,,northern primrose,primevère boréale
Ranunculaceae,Caltha palustris subsp. radicans (T.F.Forst.) Hook.,naur?iaq (U),yellow marsh marigold,populage des marais
Ranunculaceae,Pulsatilla nuttalliana (DC.) Bercht. & J. Presl,,prairie pasqueflower,pulsatille multifide
Ranunculaceae,Ranunculus arcticus Richardson,,northern buttercup,renoncule arctique
Ranunculaceae,Ranunculus gmelinii DC. subsp. gmelinii,,Gmelin's buttercup,renoncule de Gmelin
Ranunculaceae,Ranunculus hyperboreus Rottb. subsp. hyperboreus,,far-northern buttercup,renoncule hyperboréale
Ranunculaceae,Ranunculus nivalis L.,,Snow buttercup,"Renoncule nivale, renouncle des neiges"
